Dates,Daily PNL,Gross Exposure,EOD Net Exposure,Cumulative PNL,Cumulative PNL%,DD in %,DD in INR
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-12,-108.95625000011933,726375.0,726375.0,-108.95625000011933,-1.0895625000011933e-05,-1.0895625000011933e-05,-108.95625000011933
2000-06-13,-7000.0,719375.0,719375.0,-7108.956250000119,-0.0007108956250000119,-0.0007108956250000119,-7108.956250000119
2000-06-14,5375.0,724750.0,724750.0,-1733.9562500001193,-0.00017339562500001194,-0.00017339562500001194,-1733.9562500001193
2000-06-15,-399.99999999997726,724350.0,724350.0,-2133.9562500000966,-0.00021339562500000966,-0.00021339562500000966,-2133.9562500000966
2000-06-16,13799.999999999955,738150.0,738150.0,11666.043749999859,0.0011666043749999858,0.0,0.0
2000-06-19,10675.00000000007,748825.0,748825.0,22341.043749999928,0.0022341043749999926,0.0,0.0
2000-06-20,8149.999999999977,756975.0,756975.0,30491.043749999906,0.0030491043749999907,0.0,0.0
2000-06-21,-13899.999999999978,743075.0,743075.0,16591.043749999928,0.0016591043749999929,-0.0013899999999999978,-13899.999999999978
2000-06-22,3599.999999999909,746675.0,746675.0,20191.043749999837,0.0020191043749999836,-0.0010300000000000068,-10300.00000000007
2000-06-23,-7824.999999999932,738850.0,738850.0,12366.043749999906,0.0012366043749999906,-0.0018125,-18125.0
2000-06-26,-8069.299999999998,731000.0,-731000.0,4296.743749999908,0.00042967437499999076,-0.00261943,-26194.3
2000-06-27,3049.9999999999545,727950.0,-727950.0,7346.743749999862,0.0007346743749999862,-0.0023144300000000045,-23144.300000000043
2000-06-28,-6924.9999999999545,734875.0,-734875.0,421.7437499999078,4.2174374999990776e-05,-0.00300693,-30069.3
2000-06-29,-10523.55250000005,745175.0,745175.0,-10101.808750000142,-0.0010101808750000141,-0.004059285250000005,-40592.85250000005
2000-06-30,-2899.9999999999773,742275.0,742275.0,-13001.80875000012,-0.001300180875000012,-0.004349285250000002,-43492.85250000002
2000-07-03,8350.000000000022,750625.0,750625.0,-4651.808750000098,-0.00046518087500000983,-0.003514285250000001,-35142.85250000001
2000-07-04,6575.0000000000455,757200.0,757200.0,1923.191249999947,0.00019231912499999472,-0.0028567852499999957,-28567.852499999957
2000-07-05,4149.999999999977,761350.0,761350.0,6073.191249999924,0.0006073191249999924,-0.0024417852499999983,-24417.852499999983
2000-07-06,-2399.9999999999773,758950.0,758950.0,3673.191249999947,0.0003673191249999947,-0.002681785249999996,-26817.852499999957
2000-07-07,-100.00000000002274,758850.0,758850.0,3573.1912499999244,0.00035731912499999244,-0.002691785249999998,-26917.852499999983
2000-07-10,-4149.999999999977,754700.0,754700.0,-576.8087500000529,-5.768087500000529e-05,-0.003106785249999996,-31067.852499999957
2000-07-11,4774.999999999977,759475.0,759475.0,4198.191249999924,0.00041981912499999244,-0.0026292852499999984,-26292.852499999983
2000-07-12,8774.999999999978,768250.0,768250.0,12973.191249999902,0.00129731912499999,-0.0017517852500000004,-17517.852500000005
2000-07-13,-6649.999999999977,761600.0,761600.0,6323.191249999924,0.0006323191249999925,-0.0024167852499999984,-24167.852499999983
2000-07-14,-5876.785000000041,755950.0,-755950.0,446.4062499998836,4.464062499998836e-05,-0.0030044637500000024,-30044.637500000023
2000-07-17,14275.000000000091,741675.0,-741675.0,14721.406249999975,0.0014721406249999975,-0.0015769637499999931,-15769.637499999932
2000-07-18,8649.999999999978,733025.0,-733025.0,23371.406249999953,0.0023371406249999955,-0.0007119637499999953,-7119.637499999953
